ticker,sector,signal_date,entry_date,exit_date,entry,stop,target,exit,status,ret_pct,score,hold_days
SHREECEM,Cement,2025-04-16,2025-04-17,2025-04-30,30568.678480342744,29429.32521592913,32847.38500916997,29429.32521592913,STOP_HIT,-4.027191756576187,85,9
ASIANPAINT,Chemicals,2025-04-22,2025-04-23,2025-05-07,2390.2206698356213,2314.185232612726,2542.291544281412,2314.185232612726,STOP_HIT,-3.4811053340160543,75,10
ETERNAL,Retail,2025-04-30,2025-05-02,2025-05-16,220.0500030517578,207.16254609667604,245.82491696192133,245.82491696192133,TARGET_HIT,11.413207704023996,85,11
POWERGRID,Power,2025-05-07,2025-05-08,2025-05-09,303.48120349855293,292.101762898062,326.2400846995347,290.50531116001264,STOP_HIT,-4.5756823780034095,70,2
CANBK,Bank,2025-05-09,2025-05-12,2025-05-28,93.9253074639926,89.24524276480233,103.28543686237313,103.28543686237313,TARGET_HIT,9.665503069520264,70,13
MOTHERSON,Auto,2025-05-12,2025-05-13,2025-06-11,95.67833927953906,89.73620925281722,107.56259933298276,105.62014770507812,EXPIRED,10.090866418043209,90,22
AMBUJACEM,Cement,2025-05-16,2025-05-19,2025-06-13,561.1579544119014,538.9013049788654,605.6712532779735,538.3353300736247,STOP_HIT,-4.367058866196593,85,20
MARICO,FMCG,2025-05-28,2025-05-29,2025-06-03,713.4981112909196,690.0292347629684,760.4358643468222,690.0292347629684,STOP_HIT,-3.5892696079446447,70,4
ADANIPORTS,Infra,2025-06-03,2025-06-04,2025-06-18,1419.3835580156406,1364.2133406927744,1529.7239926613731,1364.2133406927744,STOP_HIT,-4.186913936074932,75,11
BAJAJ-AUTO,Auto,2025-06-11,2025-06-12,2025-06-13,8398.460230412666,8143.057700974312,8909.265289289373,8136.3843718153685,STOP_HIT,-3.42052270782045,70,2
ONGC,Energy,2025-06-13,2025-06-16,2025-06-24,239.92775875772617,232.26683755959422,255.24960115399008,232.26683755959422,STOP_HIT,-3.4930116122444117,100,7
TECHM,IT,2025-06-13,2025-06-16,2025-07-14,1570.563038084222,1518.147754907941,1675.393604436784,1518.147754907941,STOP_HIT,-3.6373562159095147,70,21
TITAN,Retail,2025-06-18,2025-06-19,2025-06-26,3457.0185976943762,3356.897265021847,3657.2612630394347,3657.2612630394347,TARGET_HIT,5.4923514058792815,70,6
IOC,Energy,2025-06-24,2025-06-25,2025-07-07,133.22237513969844,128.7087624663199,142.2496004864555,142.2496004864555,TARGET_HIT,6.476057953696602,85,9
BHARTIARTL,Telecom,2025-06-26,2025-06-27,2025-07-11,1968.5611570707292,1918.510347726257,2068.662775759674,1901.963053326605,STOP_HIT,-3.6830853313810192,70,11
DABUR,FMCG,2025-07-07,2025-07-08,2025-08-01,498.2820560973898,486.05507758461914,522.7360131229311,523.4108229894721,TARGET_HIT,4.743080838369751,70,19
NMDC,Metal,2025-07-11,2025-07-14,2025-08-12,66.04173556078811,63.72338152044333,70.67844364147767,67.8985595703125,EXPIRED,2.511591781707912,60,22
PNB,Bank,2025-07-14,2025-07-15,2025-07-28,107.69832705241257,104.16115833310764,114.77266449102243,104.16115833310764,STOP_HIT,-3.584330236238053,60,10
PGHH,FMCG,2025-09-19,2025-09-22,2025-09-23,13452.357085482627,13069.777473339294,14217.516309769293,13069.777473339294,STOP_HIT,-3.143959684628061,100,2
MRF,Auto,2025-09-19,2025-09-22,2025-10-20,149732.71896467125,144486.9809640024,160224.19496600892,160224.19496600892,TARGET_HIT,6.706802570527748,90,20
HDFCLIFE,Insurance,2025-09-22,2025-09-23,2025-09-25,784.6534104686169,761.4578724463017,831.0444865132473,761.4578724463017,STOP_HIT,-3.2561507938214658,85,3
CANBK,Bank,2025-09-23,2025-09-24,2025-09-26,118.78165454418034,115.04974218543154,126.24547926167794,115.04974218543154,STOP_HIT,-3.441825539532905,70,3
ONGC,Energy,2025-09-25,2025-09-26,2025-10-23,227.9039307888727,223.30573886618987,237.1003146342384,237.39993279867397,TARGET_HIT,3.866668813886432,75,18
PFC,NBFC,2025-10-03,2025-10-06,2025-10-09,391.13867948049597,379.6619269671482,414.09218450719146,379.6619269671482,STOP_HIT,-3.234190126272096,100,4
